Publication_date,Source,Scraped_category,Title,Summary,Article_Url
2024-09-11,BBC,news,Anti-war protesters clash with Melbourne police,Both sides are accusing the other of using extreme levels of violence at the protest.,https://www.bbc.com/news/articles/cqjl5pdd97wo
2024-09-10,BBC,news,"Israeli strike in Gaza humanitarian zone kills 19, Hamas-run health ministry says",The Israeli military says it struck  senior Hamas terrorists  operating there - a claim hamas denied.,https://www.bbc.com/news/articles/cwyx9znxl4eo
2024-09-09,BBC,news,Met admits making mistakes on Palestine protests,"The Met Police says about 52,000 officers' shifts were needed for protests between October and June.",https://www.bbc.com/news/articles/cy0rer2k01no
2024-09-07,BBC,news,World order 'under threat not seen since Cold War',"The MI6 and CIA chiefs, who made their first public appearance together, warn of challenges such as the war in Ukraine, Islamic State, Israel-Gaza conflict and the rise of China.",https://www.bbc.com/news/articles/cx2gz4re394o
2024-09-07,BBC,news,Satellite images show how Israel is paving key Gaza road,BBC Verify looks at roadwork that analysts say shows Israel is unlikely to fully withdraw from Gaza any time soon.,https://www.bbc.com/news/articles/cewlqpk9e99o
2024-09-05,BBC,news,ICC chief prosecutor defends Netanyahu arrest warrant in BBC interview,Mr Khan tells the BBC it is important to show the court will hold all nations to the same standard.,https://www.bbc.com/news/articles/c303y5m1p19o
2024-09-04,BBC,news,Netanyahu doubles down on control of Gaza's border with Egypt,Israel's prime minister insists his forces will not leave the Philadelphi corridor between Gaza and Egypt.,https://www.bbc.com/news/articles/cgl2370ldxro
2024-09-04,BBC,news,Family of aid worker killed in Gaza call for inquiry,"The family of James Kirby, who died in an Israeli strike, say they want accountability for his death.",https://www.bbc.com/news/articles/c5y8zp8zdpzo
2024-09-03,BBC,news,Columbia University term starts with protests and security,"A statue was doused with red paint and there were at least two arrests, but police described the day as ""peaceful"".",https://www.bbc.com/news/articles/cvg3dnn7zlyo
2024-09-03,BBC,news,"Rooftop protesters caused  571k damage, court told",Four people go on trial charged over the 14-hour protest at Teledyne in Shipley on 2 April.,https://www.bbc.com/news/articles/cp8np976znqo
2024-09-03,BBC,news,Where does Israel get its weapons?,Israel's military is heavily reliant on imported aircraft and munitions to conduct its war in Gaza.,https://www.bbc.com/news/world-middle-east-68737412
