Publication_date,Source,Scraped_category,Title,Summary,news_raw,Article_Url
11-09-2024,BBC,Home,The slow death of the screamerPosted13 hours ago13h,The slow death of the screamerPosted13 hours ago13h,The slow death of the screamerPosted13 hours ago13h,https://www.bbc.com/sport/extra/7ruba7shs4/the-slow-death-of-the-screamer
11-09-2024,BBC,Home,'Europe must keep Solheim momentum rolling'AttributionGolfPosted2 hours ago2h,'Europe must keep Solheim momentum rolling'AttributionGolfPosted2 hours ago2h,'Europe must keep Solheim momentum rolling'AttributionGolfPosted2 hours ago2h,https://www.bbc.com/sport/golf/articles/c80e8gjyrz1o
11-09-2024,BBC,Home,Brazil and Argentina lose in World Cup qualifying AttributionWorld CupPosted3 hours ago3h,Brazil and Argentina lose in World Cup qualifying AttributionWorld CupPosted3 hours ago3h,Brazil and Argentina lose in World Cup qualifying AttributionWorld CupPosted3 hours ago3h,https://www.bbc.com/sport/football/articles/cq5dvq5171vo
11-09-2024,BBC,Home,'Call me!' - the bosses who could revive your teamAttributionPremier LeaguePosted5 hours ago5h,'Call me!' - the bosses who could revive your teamAttributionPremier LeaguePosted5 hours ago5h,'Call me!' - the bosses who could revive your teamAttributionPremier LeaguePosted5 hours ago5h,https://www.bbc.com/sport/football/articles/ce380jklj44o
11-09-2024,BBC,Home,Craig gets 12-month ban after cocaine arrestAttributionHockeyPosted6 hours ago6h,Craig gets 12-month ban after cocaine arrestAttributionHockeyPosted6 hours ago6h,Craig gets 12-month ban after cocaine arrestAttributionHockeyPosted6 hours ago6h,https://www.bbc.com/sport/hockey/articles/cr5ng77p0r4o
11-09-2024,BBC,Home,'We are the trailblazers': The ex-players becoming refsAttributionFootballPosted4 hours ago4hComments54,'We are the trailblazers': The ex-players becoming refsAttributionFootballPosted4 hours ago4hComments54,'We are the trailblazers': The ex-players becoming refsAttributionFootballPosted4 hours ago4hComments54,https://www.bbc.com/sport/football/articles/cx2nd9zewx5o
11-09-2024,BBC,Home,‘Excitement & hope’ - but what challenges will USA boss Pochettino face?,Mauricio Pochettino's appointment as USA manager is being met with excitement and hope - but what challenges will he face?AttributionUSAPosted42 minutes ago42min,‘Excitement & hope’ - but what challenges will USA boss Pochettino face?Mauricio Pochettino's appointment as USA manager is being met with excitement and hope - but what challenges will he face?AttributionUSAPosted42 minutes ago42min,https://www.bbc.com/sport/football/articles/cz6xqgey07qo
11-09-2024,BBC,Home,'Fireworks expected as US seek Solheim success'AttributionGolfPosted12 hours ago12hComments107,'Fireworks expected as US seek Solheim success'AttributionGolfPosted12 hours ago12hComments107,'Fireworks expected as US seek Solheim success'AttributionGolfPosted12 hours ago12hComments107,https://www.bbc.com/sport/golf/articles/c7v52nq4y8do
11-09-2024,BBC,Home,'Carsley has put his stamp on England - job feels like his to lose'AttributionEngland MenPosted15 hours ago15hComments1405,'Carsley has put his stamp on England - job feels like his to lose'AttributionEngland MenPosted15 hours ago15hComments1405,'Carsley has put his stamp on England - job feels like his to lose'AttributionEngland MenPosted15 hours ago15hComments1405,https://www.bbc.com/sport/football/articles/c15gewlnvj3o
11-09-2024,BBC,Home,Arsenal's Odegaard set for at least three weeks outAttributionFootballPosted2 hours ago2h,Arsenal's Odegaard set for at least three weeks outAttributionFootballPosted2 hours ago2h,Arsenal's Odegaard set for at least three weeks outAttributionFootballPosted2 hours ago2h,https://www.bbc.com/sport/football/articles/c74l2r97l78o
11-09-2024,BBC,Home,England to open Six Nations defence against ItalyAttributionRugby UnionPosted2 hours ago2h,England to open Six Nations defence against ItalyAttributionRugby UnionPosted2 hours ago2h,England to open Six Nations defence against ItalyAttributionRugby UnionPosted2 hours ago2h,https://www.bbc.com/sport/rugby-union/articles/c80e8mj3475o
11-09-2024,BBC,Home,Technicality gives Raygun world number one rankingAttributionAustraliaPosted12 hours ago12h,Technicality gives Raygun world number one rankingAttributionAustraliaPosted12 hours ago12h,Technicality gives Raygun world number one rankingAttributionAustraliaPosted12 hours ago12h,https://www.bbc.com/news/articles/cn47e3pgr01o
11-09-2024,BBC,Home,I protected De Ligt by taking him off - Koeman,"Netherlands manager Ronald Koeman says he substituted Man Utd centre-back Matthijs de Ligt in Tuesday's draw with Germany to ""protect"" him.AttributionFootballPosted3 hours ago3h","I protected De Ligt by taking him off - KoemanNetherlands manager Ronald Koeman says he substituted Man Utd centre-back Matthijs de Ligt in Tuesday's draw with Germany to ""protect"" him.AttributionFootballPosted3 hours ago3h",https://www.bbc.com/sport/football/articles/cg4y6gp6kkxo
11-09-2024,BBC,Home,Honda and Alpine breach F1 cost-cap rulesAttributionFormula 1Posted3 hours ago3h,Honda and Alpine breach F1 cost-cap rulesAttributionFormula 1Posted3 hours ago3h,Honda and Alpine breach F1 cost-cap rulesAttributionFormula 1Posted3 hours ago3h,https://www.bbc.com/sport/formula1/articles/cn47e8l2897o
11-09-2024,BBC,Home,Stockport coach Mangan's Real Madrid move blockedAttributionFootballPosted3 hours ago3h,Stockport coach Mangan's Real Madrid move blockedAttributionFootballPosted3 hours ago3h,Stockport coach Mangan's Real Madrid move blockedAttributionFootballPosted3 hours ago3h,https://www.bbc.com/sport/football/articles/czxlv9ndvkdo
11-09-2024,BBC,Home,Draper left out of GB team for Davis Cup openerAttributionTennisPosted2 hours ago2h,Draper left out of GB team for Davis Cup openerAttributionTennisPosted2 hours ago2h,Draper left out of GB team for Davis Cup openerAttributionTennisPosted2 hours ago2h,https://www.bbc.com/sport/tennis/articles/c20rq56nnr9o
