Source,Scraped_category,Title,news_raw,Article_Url
SkyNews,UK,The taxes that may rise in budget,"Live
                        


Labour to take action against MPs who defied Starmer on winter fuel vote



The taxes that may rise in budget",https://news.sky.comhttps://news.sky.com/story/which-tax-rises-could-the-labour-government-introduce-in-the-autumn-budget-13188041
SkyNews,UK,'It was time for a change': Southgate has no regrets after stepping down as England manager,'It was time for a change': Southgate has no regrets after stepping down as England manager,https://news.sky.com/story/former-england-manager-gareth-southgate-says-he-has-no-regrets-after-quitting-13212876
SkyNews,UK,UK economy flatlines unexpectedly,UK economy flatlines unexpectedly,https://news.sky.com/story/uk-economy-continued-to-flatline-in-month-labour-came-to-power-official-figures-13212719
SkyNews,UK,"Girl, 14, arrested on suspicion of arson after fatal house fire","Girl, 14, arrested on suspicion of arson after fatal house fire",https://news.sky.com/story/girl-14-arrested-on-suspicion-of-arson-after-fatal-house-fire-in-leicester-13212731
SkyNews,UK,Inquiry to examine murder of Belfast lawyer,"Breaking
                        


Inquiry to examine murder of Belfast lawyer",https://news.sky.com/story/inquiry-to-examine-murder-of-belfast-lawyer-pat-finucane-13212893
SkyNews,UK,Man who was jailed for life over murder 33 years ago has conviction overturned,Man who was jailed for life over murder 33 years ago has conviction overturned,https://news.sky.com/story/oliver-campbell-brain-damaged-man-who-was-jailed-for-life-over-murder-has-conviction-quashed-13212411
SkyNews,UK,Wedding gifts branded 'cheeky' and 'spoilt' - as 48% find expected cost 'annoying' | Money,"Live
                        


Wedding gifts branded 'cheeky' and 'spoilt' - as 48% find expected cost 'annoying' | Money",https://news.sky.com/story/money-latest-consumer-skynews-blog-13040934
SkyNews,UK,Winter fuel payment cut to 10 million pensioners will not be 'watered down',Winter fuel payment cut to 10 million pensioners will not be 'watered down',https://news.sky.com/story/government-will-not-water-down-winter-fuel-payment-cut-to-10-million-pensioners-minister-says-13212739
SkyNews,UK,"Chancellor signals first budget will be painful mix of spending cuts, tax rises and higher borrowing","Analysis
                        


Chancellor signals first budget will be painful mix of spending cuts, tax rises and higher borrowing",https://news.sky.com/story/rachel-reeves-signals-first-budget-will-be-painful-mix-of-spending-cuts-tax-rises-and-higher-borrowing-13212818
SkyNews,UK,Women's World Cup could be expanded to 48 teams - and that's good news for England bid,Women's World Cup could be expanded to 48 teams - and that's good news for England bid,https://news.sky.com/story/fa-hoping-expansion-of-womens-world-cup-will-boost-english-led-bid-to-host-tournament-13212635
SkyNews,UK,Southgate: 'We raised expectations',Southgate: 'We raised expectations',https://news.sky.com/video/gareth-southgate-talks-to-sky-about-gary-lineker-jibes-and-regrets-13212906
SkyNews,UK,'Dream' to host Women's World Cup,'Dream' to host Women's World Cup,https://news.sky.com/video/womens-football-stars-talk-to-sky-about-the-new-season-13212799
SkyNews,UK,Chancellor: 'Steel is vital to economy',Chancellor: 'Steel is vital to economy',https://news.sky.com/video/chancellor-rachel-reeves-tells-sky-news-steel-is-vital-to-economy-13212781
SkyNews,UK,Jeremy Kyle Show death inquest explained,Jeremy Kyle Show death inquest explained,https://news.sky.com/video/jeremy-kyle-show-death-what-happened-during-the-inquest-on-the-death-of-steve-dymond-13212512
SkyNews,UK,Winter fuel payment changes - are you still eligible?,"Explainer
                        


Winter fuel payment changes - are you still eligible?",https://news.sky.com/story/winter-fuel-payment-changes-are-you-still-eligible-13187277
SkyNews,UK,Kate's words in full as she updates world on cancer status in intimate family portrayal,Kate's words in full as she updates world on cancer status in intimate family portrayal,https://news.sky.com/story/kates-words-in-full-as-she-updates-world-on-cancer-status-in-intimate-family-portrayal-13212022
SkyNews,UK,The gangs terrorising communities who victims say Starmer must tackle,The gangs terrorising communities who victims say Starmer must tackle,https://news.sky.com/story/anti-social-behaviour-concerns-thousands-of-communities-say-their-fears-arent-being-taken-seriously-by-authorities-13210576
SkyNews,UK,"Reality TV is cheap to make and compelling to watch, but it can cost those taking part","Katie Spencer


Reality TV is cheap to make and compelling to watch, but it can cost those taking part",https://news.sky.com/story/reality-tv-is-cheap-to-make-and-compelling-to-watch-but-it-can-cost-those-taking-part-13212514
SkyNews,UK,Labour won't want to be associated with austerity - but it's creeping into the debate,"Gurpreet Narwan


Labour won't want to be associated with austerity - but it's creeping into the debate",https://news.sky.com/story/labour-wont-want-to-be-associated-with-austerity-but-its-creeping-into-the-debate-13212444
