Publication_date,Source,Scraped_category,Title,Summary,Article_Url
11-09-2024,SkyNews,UK,Gareth Southgate says he has no regrets after quitting as England manager,"Former England manager Gareth Southgate has told Sky News he has no regrets after quitting.Southgate stepped down after England lost the Euro final to Spain 2-1 in July.The 54-year-old had been in charge of the national side since 2016 and had led his country to the finals of two major tournaments.Speaking to Sky News, Southgate said he had an ""incredible eight-year journey with the team"" and that it had been ""an absolute privilege"" to manage his country.""I think it was probably the right time for change,"" he said.""I don't think you can have regrets. We made decisions with the information we had at the time to try and produce a winning team.""Southgate added that he had ""given the job everything [he] had"".""We raised expectations and that was important. We needed to put English football back on the map,"" he said.Southgate was at the BGC Group's annual charity day in Canary Wharf, to remember the lives lost on the 23rd anniversary of the 9/11 attacks.Be the first to get Breaking NewsInstall the Sky News app for freeResponding to recent comments from Gary Lineker about Southgate's squad choices, the former manager said he had ""shut [himself] off from everything"" since leaving the role.""There's no point in me talking about the team now,"" he added.""It's for me to let other people take over, to give them the space to go and take the team on to the next challenges.""There's no point in me getting involved in anything like that.""Keep up with all the latest news from the UK and around the world by following Sky NewsRead more from Sky News:Man jailed for life over murder has conviction quashedWhere did Trump's pet-eating claims come from?Southgate would not rule out a return to football management, but insisted he was ""not going to rush into anything"".""I've got lots of opportunities, I'm very open-minded to what's next,"" he said.""That might be in football, that might be outside of football. I'm just going to take some time, refresh, recharge and go from there.""I think at the moment people know that I need to get my energy back.""",https://news.sky.com/story/former-england-manager-gareth-southgate-says-he-has-no-regrets-after-quitting-13212876
11-09-2024,SkyNews,UK,UK economy continued to flatline in July recording no growth as Labour came to power - ONS,"There was no growth in the UK economy in July, official figures show.It's the second month of stagnation, the Office for National Statistics (ONS) said as GDP - the measure of everything produced in the UK - flatlined in the weeks following the election of the Labour government.The flatline was not expected by economists, who had anticipated growth.Money blog: Online fashion giant U-turns on returns feeEconomists polled by the Reuters news agency forecast the economy would expand by 0.2%.Some signs of growthBut there's ""longer-term strength"" in the services sector meaning there was growth over the last three months as a whole and 0.5% expansion in the three months up to July.Among the G7 group of industrialised nations, the UK had the highest growth rate for the first six months of 2024.Why stagnation?While there was growth in the services sector, led by computer programmers and the end of strikes in health, these gains were offset by falls for advertising companies, architects and engineers.Manufacturing output fell overall due to ""a particularly poor month for car and machinery firms"", the ONS said, while construction also declined.Be the first to get Breaking NewsInstall the Sky News app for freeWhat will it mean for interest rates?Market expectations are for interest rates to remain unchanged by the Bank of England when they meet next week to consider their next move in the fight against inflation.The central bank had raised the rate and made borrowing more expensive to reduce inflation.A cut in November, at the next meeting of rate-setters, is expected. Rates are forecast to be brought down to 4.75% at that point.Political reactionIn response to the figures Chancellor Rachel Reeves said:""I am under no illusion about the scale of the challenge we face and I will be honest with the British people that change will not happen overnight. Two-quarters of positive economic growth does not make up for 14 years of stagnation.""That is why we are taking the long-term decisions now to fix the foundations of our economy.""",https://news.sky.com/story/uk-economy-continued-to-flatline-in-month-labour-came-to-power-official-figures-13212719
11-09-2024,SkyNews,UK,"Girl, 14, arrested on suspicion of arson after fatal house fire in Leicester","A 14-year-old girl has been arrested on suspicion of arson after a person was found dead following a house fire.The incident took place in Bedale Drive, Leicester, in the early hours of Tuesday morning.The girl arrested in connection with the investigation has since been released on bail while inquiries continue.Police said they were contacted by Leicestershire Fire and Rescue Service at 4.08am on Tuesday, after a person's body was found inside the address.Officers have not revealed their identity or whether they were known to the girl.In a statement, Leicestershire Police confirmed other people within the property received hospital treatment as a precaution.Forensic teams - wearing boiler suits and face masks - could be seen entering the terraced house on Wednesday.People have also been laying flowers outside the address, along with soft toys.From the street, fire damage was visible from a window in the roof space.'Extremely tragic incident'Detective Inspector Michael Chandler said: ""This is an extremely tragic incident in which a person has sadly lost their life.""Our investigation is at a very early stage and we are keeping an open mind as to what caused the fire.""Police said they were working closely with the fire service ""to establish the full circumstances leading up to the incident"".Keep up with all the latest news from the UK and around the world by following Sky NewsRead more from Sky News:UK economy continued to flatline in JulyAnalysis: Why Starmer's honeymoon is well and truly overJoint mortgages being used as 'weapons' for domestic abuseDI Chandler spoke about the impact on the family and local community, saying: ""Specially trained officers are also continuing to provide full support to the family of the deceased.""I understand this incident will have caused distress and concern in the community and officers remain in the area to offer support and reassurance.""Bedale Drive is in a largely residential area - mostly terraced houses - on the outskirts of Leicester, a few miles north of the city centre.",https://news.sky.com/story/girl-14-arrested-on-suspicion-of-arson-after-fatal-house-fire-in-leicester-13212731
11-09-2024,SkyNews,UK,Inquiry to examine murder of Belfast lawyer Pat Finucane,"The UK government has announced a public inquiry into the murder of Belfast lawyer Pat Finucane, who was shot dead by loyalist terrorists in 1989.His killing became one of the most notorious of the Northern Ireland troubles, raising the issue of collusion between loyalist paramilitaries and British state forces.Mr Finucane, 39, was shot 14 times in front of his wife and three children as they sat eating a meal in their Belfast home.He had come to prominence as an effective defence solicitor, representing IRA members and loyalists accused of terrorist offences at the height of the conflict.During an inquest into his death, police refuted his killers' claims that he had been a member of the IRA but their investigation went nowhere.Former Metropolitan Police Commissioner John Stevens, who was appointed to investigate claims of collusion, found that two agents had been involved in Mr Finucane's murder.In 2001, the government appointed a Canadian judge to examine the case and vowed to hold a public inquiry if he found evidence of collusion.That judge found ""strong evidence"" of collusion, including that MI5 had been aware of the threat in advance, but the government reneged on its commitment.Keep up with all the latest news from the UK and around the world by following Sky NewsRead more from Sky News:PM visits Republic of Ireland for 'reset' in relationsFormer journalist to lead Ulster Unionist PartyIn 2011, and still under pressure to hold a public inquiry, the government asked a former UN war crimes prosecutor to review the case again.When Sir Desmond de Silva's report was published, the then Prime Minister David Cameron apologised to the Finucane family for ""frankly shocking levels of collusion"".Mr Finucane's widow Geraldine has led a tireless legal campaign. The UK Supreme Court ruled in 2019 that there had been never an adequate investigation.A Court of Appeal ruling had given the UK government until 27 September 2024 to announce whether or not a public inquiry would be held.",https://news.sky.com/story/inquiry-to-examine-murder-of-belfast-lawyer-pat-finucane-13212893
11-09-2024,SkyNews,UK,Oliver Campbell: Brain-damaged man who was jailed for life over murder has conviction quashed,"A brain-damaged man jailed for life for murder as a teenager has had his conviction quashed by the Court of Appeal.Oliver Campbell was jailed in 1991 for murdering shopkeeper Baldev Hoondle in Hackney, east London.He was interviewed without a lawyer after his arrest and later convicted of murder and robbery while a friend, Eric Samuels, was found guilty of just the robbery.Three judges ruled on Wednesday that Mr Campbell's conviction was ""unsafe"".Mr Campbell's lawyers claimed his trial jury was not told the full extent of his mental health issues, nor did it hear evidence another man had been named as the gunman.Be the first to get Breaking NewsInstall the Sky News app for freeOn the eve of his appeal in February this year Mr Campbell, who is free on licence, told Sky News: ""If I win the choke chain that's been around my neck for 33 years will come off, but I'm not free yet.""I'm still a prisoner of the criminal justice system, still under the Home Office because they can recall me to prison any time.""Asked why he had confessed to detectives who took him in for questioning, he said: ""I was under police pressure, under duress. It was like someone putting you in a room and there's no way out of it. I felt vulnerable, 100%.""If they had done their homework they would have realised I was wrongly arrested, wrongly convicted and wrongly jailed.""His legal team said: ""Oliver suffered severe brain damage as a baby.""His intelligence is borderline defective with an impaired capacity to process or remember more than the simplest verbal information, severely restricted reasoning skills and poor concentration and memory.""Part of the evidence against Campbell was his hat, which was found at the scene and he admitted was his but had been taken off him by someone several days before the robbery.The hat contained hairs but none of them belonged to Mr Campbell.The gunman was also said to be right-handed, while Mr Campbell is left-handed.The Criminal Cases Review Commission (CCRC) previously referred Mr Campbell's case to the Court of Appeal, arguing his conviction should be quashed.He had lost his first appeal, had a second application for appeal turned down by the CCRC but then persuaded it he did have a good case.Mr Campbell was freed on licence in 2002 and has been living under restrictions meaning he needs permission to get a job and is prevented from travelling abroad.Read more from Sky News:Taylor swift posts statement endorsing Kamala HarrisDave Grohl reveals he's become father 'outside of my marriage'Lord Justice Holroyde, sitting with Mr Justice Bourne and Mrs Justice Stacey, said the rulings might be different ""in the light of fresh evidence"".""A jury knowing of the fresh evidence would be considering the reliability of those confessions in a materially different context,"" Lord Justice Holroyde added.""In those circumstances, we cannot say that the fresh evidence could not reasonably have affected the decision of the jury to convict.""Keep up with all the latest news from the UK and around the world by following Sky NewsThe Metropolitan Police issued a statement responding to the ruling: ""The murder of Baldev Singh Hoondle in July 1990 was fully investigated by detectives at the time with a range of evidence brought before a jury who convicted the defendant the following year.""We are aware of today's decision by the Court of Appeal in relation to Mr Campbell's conviction. We await the full Judgement and will review these findings. We will continue to provide support to Mr Hoondle's family.""",https://news.sky.com/story/oliver-campbell-brain-damaged-man-who-was-jailed-for-life-over-murder-has-conviction-quashed-13212411
11-09-2024,SkyNews,UK,Money blog: Wedding gifts branded 'cheeky' and 'spoilt' - as 48% find expected cost 'annoying',"The Money blog is your place for personal finance and consumer news. Scroll down to read about new research on how families with twins or triplets face are driven towards bankruptcy, PrettyLittleThing U-turning on its returns policy, and a survey on people's feelings about wedding gifts.",https://news.sky.com/story/money-latest-consumer-skynews-blog-13040934
11-09-2024,SkyNews,UK,"Government will not 'water down' winter fuel payment cut to 10 million pensioners, minister says","The government will not ""water down"" cuts to the winter fuel payment after it was voted through on Tuesday, a minister has said.Housing minister Matthew Pennycook said removing the winter fuel payment from around 10 million pensioners is ""the right decision to make"" following backlash from MPs and charities after the policy was voted through on Tuesday.He told Kay Burley on Sky News Breakfast: ""We're not going to water down that policy.""We think it's the right decision to make. It's a decision we took with a heavy heart. None of us expected to do it.""As you know, on taking office, we discovered £22bn of unfunded spending commitments. Those in-year unfunded spending pressures, they're real.""Only pensioners who claim pension credit will now receive the payment of up to £300 this winter to help with higher heating bills. Previously, all pensioners received it.A total of 53 Labour MPs did not vote, while one Labour MP, Jon Trickett, voted against the government as he said he ""could not in good conscience vote to make my constituents poorer"".Those non-votes do not automatically equate to an abstention for each MP as they may have received permission to miss a vote.Shouts of ""shame"" could be heard in the House of Commons chamber as the result was announced.Rachel Maskell was one Labour MP who abstained after saying pensioners will be ""frightened"" to turn on the lights in case they cannot pay their bills.Sir Keir Starmer's suspension of seven MPs who voted against the government on the two-child benefit cap in July may well have put Labour MPs off voting against the government entirely.Conservative MPs hit out at the decision, with the shadow pensions secretary Mel Stride calling the policy ""absurd"", saying it will ""cause untold hardship to millions"".Read more:Starmer's honeymoon is truly overIran is supplying Russia with ballistic missilesPlease use Chrome browser for a more accessible video playerMinisters have spent the past five weeks defending the decision after Chancellor Rachel Reeves announced the cut at the end of July.They have repeatedly said it is a ""tough choice"" and one they did not want to make, but the state the economy was left in by the Conservatives means they had to make cuts to stabilise it.Be the first to get Breaking NewsInstall the Sky News app for freeMr Pennycook added that the government is ""confident the support is in place for the most vulnerable pensioners who need help this winter"".He said pension credit, the £150 warm home discount and an additional £421m into the Household Support Fund for councils to help the most vulnerable people will help over the winter.Keeping the triple lock on pensions, where the state pension rises by whatever is highest out of 2.5%, inflation or average earnings growth, will also help all pensioners, he added.",https://news.sky.com/story/government-will-not-water-down-winter-fuel-payment-cut-to-10-million-pensioners-minister-says-13212739
11-09-2024,SkyNews,UK,"Rachel Reeves signals first budget will be painful mix of spending cuts, tax rises and higher borrowing","Chancellor Rachel Reeves has signalled her first budget as chancellor could be a painful mix of spending cuts, tax rises and increased borrowing.Speaking to Sky News after official figures showed the economy flatlined in July with GDP growth of 0.0%, she refused to rule out increasing business and wealth taxes, or further cuts to already strained departmental budgets, as she seeks to address what she says is a dire economic inheritance from the last government.""I've been really honest that there are difficult decisions to come in the budget, on spending, on taxation and welfare, after the mess that the previous government created with the public finances and the state that they are in, that was inevitable,"" she said.""I was clear during the election campaign that, if I became chancellor of the exchequer, tough choices lie ahead.""Follow live politics updatesMs Reeves has ruled out increasing personal income taxes, National Insurance and VAT as well as corporation tax, leaving a limited field of other taxes on private wealth and business.She said her choices in the budget would be directed at getting a grip on the public finances.""It is important to bring stability back to our economy, but we will do that in a way that helps promote growth, so we can grow our economy and make our country better off,"" she said.Keep up with all the latest news from the UK and around the world by following Sky NewsThe need to stimulate growth was emphasised by the figures from the Office for National Statistics that showed the economy stalled in June and July, consecutive months of zero expansion, after above-expectation growth in the first half of the year.The new administration has pinned its entire programme for government on stimulating growth to allow public spending to increase and stay within strict fiscal rules limiting borrowing.At the same time, they are imposing new obligations on businesses including a slate of workers' rights reforms that industries fear will increase costs.Be the first to get Breaking NewsInstall the Sky News app for freeMs Reeves cited an £8bn investment by Amazon Web Services in new data centres as evidence that businesses back her vision.""Microsoft are investing £8bn here in Britain to create new jobs in technical skills, in AI and digital infrastructure,"" she said.""They're making those investments, and other businesses too, because this government is bringing stability back to our economy and working in partnership with business to unlock the huge potential. And if we can do that, we can make our country better off.""Read more:Millions of pensioners will lose winter fuel paymentsMan who told Labour MP she would 'burn' in threatening emails jailedPlease use Chrome browser for a more accessible video playerThe chancellor also defended her decision to remove winter fuel payments from 10 million pensioners, after the government weathered a 50-strong rebellion by its own MPs in a parliamentary vote last night.She said it was a response to a £22bn ""black hole"" in public finances for this year that had to be addressed, and that the loss of up to £300 would be compensated by rising pensions.""These were not decisions that I wanted to make, but they were the right decisions in the circumstances that we faced,"" she said.""All pensioners this winter have benefited from the increase in the new state pension, which means pensions are worth £900 more than they were a year ago. The state pension is likely to go up by a further £460 next year. That's not means-tested.""So we are protecting the most vulnerable pensioners, whilst also starting to get a grip on our public financing years of mismanagement because we expect.""👉 Tap here to follow Politics at Jack and Sam's wherever you get your podcasts 👈The chancellor also suggested more cuts to public services are likely.Asked if the prisons and justice system could absorb further cuts despite having to release thousands of prisoners early, she said: ""On spending, on taxation and on welfare, but those decisions are necessary to start to get a group of our public finances so that we can turn our economy around.""I am determined not to allow these problems to continue to fester in the way that the previous government allowed that we're honest about the challenges that we face.""",https://news.sky.com/story/rachel-reeves-signals-first-budget-will-be-painful-mix-of-spending-cuts-tax-rises-and-higher-borrowing-13212818
11-09-2024,SkyNews,UK,Potential expansion of Women's World Cup could boost English-led bid to host tournament,"Talks are taking place within FIFA about expanding the Women's World Cup to 48 teams in a move that could boost an English-led bid, Sky News understands.There is a growing desire within the Football Association (FA) to try to host the tournament in 2031 having been unable to bring the men's World Cup to England since 1966.Expanding the Women's World Cup - to mirror the growth of the men's event from 32 to 48 teams - would put England in strong contention while facing potential rivals such as the United States.Sky News has learned FIFA President Gianni Infantino is being urged from within his ruling council at the world football's governing body to ensure gender parity by adding 16 teams to the Women's World Cup.A senior FIFA source told Sky News: ""We are open minded and happy to discuss it with everyone.""England has a major men's event to prepare for - the men's Euros in 2028.But sharing that with the rest of the UK and Ireland is the model for a Women's World Cup bid that is gathering momentum.Politics latest: Labour to take action against MPs who defied Starmer on winter fuel voteGareth Southgate says he has no regrets after quitting as England managerOliver Campbell: Brain-damaged man who was jailed for life over murder has conviction quashedAnd it would be welcomed by Chloe Kelly, who scored the winner at Wembley when the Lionesses won the European Championship for the first time in 2022 and was a Women's World Cup runner-up last year.The Manchester City forward told Sky News: ""The Euros here was amazing and a World Cup would be absolutely incredible.""I think it's everyone's dream, of course. And as football fans, I remember going to the final of the men at Wembley (in 2021) and just the atmosphere around the stadium.""England fans love football and we're ready to get behind the team. So I think it's important that we have many celebratory moments together.""There are hopes a decision on 2031 could be accelerated, with FIFA only this year picking its 2027 hosts despite already lining up countries for the men's event until 2034.England defender Lucy Bronze hopes their tournaments are given a greater priority within football bodies.""That's what we're trying to change in women's football,"" Bronze told Sky News.Read more from Sky News:Dave Grohl admits to having child 'outside of my marriage'Prisoners speak to Sky News after early releaseFour bodies found on Mont BlancBe the first to get Breaking NewsInstall the Sky News app for freeFew have had a better view of the transformation of the game than Bronze, who started playing in England youth teams 17 years ago and has been part of runs to three World Cup semi-finals and a final in 2023.The Euros showed her how much of a boost a World Cup here could be - although the Americans would be a threat having stepped aside from hosting the 2027 edition.""After winning the Euros, it completely changed the landscape again,"" said the 32-year-old, who is back playing in the Women's Super League after a spell at Barcelona.""I think if we were to hold another tournament, it would be great. Maybe you could hold me to this, but I think it would be the best World Cup.""I think the countries that really buy into women's sports and into women's football, like ourselves and the US, would be the ones who are capable of holding these amazing tournaments and we have these unbelievable stadiums available.""Keep up with all the latest news from the UK and around the world by following Sky NewsAnd the spread of stadiums in the UK and Ireland would put England in strong contention to host the Women's World Cup having shown through the WSL that the support is growing here.Chelsea's new French manager Sonia Bompastor is certainly impressed, having previously won Champions League titles as a player and coach with Lyon.""Being here now for almost two months, I can feel the difference weekly between England, France, even Spain,"" she told Sky News, speaking generally about women's football in England ahead of the WSL season starting this weekend.""I think in Europe there is no comparison between England and the other countries. I think England is the example to follow and it's really good.""",https://news.sky.com/story/fa-hoping-expansion-of-womens-world-cup-will-boost-english-led-bid-to-host-tournament-13212635
11-09-2024,SkyNews,UK,Gareth Southgate talks to Sky about Gary Lineker jibes and regrets,The former England Manager spoke to Sky's Jayne Secker about life after retirement.,https://news.sky.com/video/gareth-southgate-talks-to-sky-about-gary-lineker-jibes-and-regrets-13212906
